FID,ref_tn_cod,id_thiesse,type,area_m2,road_density_mean,school_kde_mean
14170,175554,2056,0,11614249.634287871,0.015211053289594881,0.016774363269373812
14171,175554,2056,0,3848051.440905649,0.016313640830984577,0.01505586702200606
14172,225251,1348,1,267590.5301863093,0.03119095428181546,0.20462953937905176
14173,525359,2358,0,482529.4001165596,0.04832758156893154,0.03374591396035006
14174,525359,2358,0,1635987.0357752102,0.04814825315745721,0.029264469636800867
14175,245254,1774,0,248.11171310844452,0.0,0.0
14176,145255,3821,1,2107.204567100335,0.0,0.0
14177,145255,3821,1,60.982554324347305,0.0,0.0
14178,145255,3821,1,68969.35200010116,0.672225398676736,0.6798013363565717
14179,145255,3821,1,104086.11521693395,0.6621381739775339,0.6279042412837347
14180,215153,1624,1,1051.1196709980627,0.0,0.0
14181,215153,1624,1,153409.9308221758,0.06665426054421593,0.21379838007337906
14182,525252,2458,1,99608.04596043141,0.09516963213682175,0.19648321568965912
14183,525252,2458,1,169743.06802727035,0.09499392451511489,0.15527849023540816
14184,165554,3453,0,342.842293355175,0.0,0.0
14185,165554,3453,0,3064179.6008317485,0.023476698861938285,0.02771467565759724
14186,115554,3766,1,89.99940505175903,0.0,0.0
14187,115554,3766,1,3241.2599164327808,0.0,0.0
14188,115554,3766,1,48.654227542766236,0.0,0.0
14189,225657,1362,0,3423844.5558360913,0.03186641059422598,0.02360399117655069
14190,436160,816,0,384279.58489631896,0.01818379487943005,0.021460343152284622
14191,225756,1157,0,11172812.21444788,0.016991160842481742,0.006942053236657118
14192,156254,4114,0,166438.34209107744,0.050629164147026395,0.03427699405480834
14193,615654,90,0,2144485.6195037463,0.02633484411570761,4.504448974007591e-05
14194,615654,90,0,14300645.123553565,0.0247204106128892,0.00011333240717018982
14195,175757,2160,0,6940980.027991634,0.013396435862125682,0.02591473662274347
14196,165252,3488,0,222.84938427381724,0.0,0.0
14197,165252,3488,0,118.97277005135834,0.0,0.0
14198,165252,3488,0,315.4014881041361,0.0,0.0
14199,165252,3488,0,520.7962410018844,0.0,0.0
14200,415855,1055,0,1321.4304779847917,0.0,0.0
14201,225754,1180,1,910189.4289908682,0.026889448264433492,0.10725169845165745
14202,215254,1609,1,469.0395306817408,0.0,0.0
14203,215254,1609,1,93.89069947367548,0.0,0.0
14204,215254,1609,1,6740293.801198008,0.06624598995691237,0.1013448659595909
14205,215254,1609,1,651064.6160984829,0.06332984110757486,0.04873725991529315
14206,426152,240,0,2766770.1929208892,0.014571550613765022,0.01922735000337414
14207,426152,240,0,9027422.753741316,0.015022040611311361,0.02388036872642317
14208,535751,2282,0,20334200.289694164,0.0014238886470075256,0.0
14209,535751,2282,0,86875077.07179002,0.0015934725874344631,0.0
14210,535751,2282,0,43364.63233625223,0.0019407705403864384,0.0
14211,635155,305,1,3520938.2918544305,0.05018113603549344,0.010752798682328181
14212,235551,1210,1,288653.6687736543,0.02974856632023022,0.10722328748168616
14213,245156,1862,0,262338.16721522936,0.01792409397661686,0.005239480920135975
14214,145254,3833,1,70639.33071074504,0.6865295966466268,0.7346039414405823
14215,145254,3833,1,491.00677728831494,0.0,0.0
14216,336151,3328,1,201.35494996649888,0.0,0.0
14217,336151,3328,1,97099.75048429295,0.12668519053194258,0.10744696772760814
14218,336151,3328,1,15057.666784960007,0.12607820332050323,0.10499487444758415
14219,336151,3328,1,15.049032179004485,0.0,0.0
14220,245854,1432,0,1784453.0219358844,0.017371230710830007,0.013110125438709343
